__run_id,__done,run_number,optimization,loop_type,execution_time,cpu_usage,memory_usage,energy_usage
run_43_repetition_0,DONE,r5,no,loop4,26.050824,111.56,1.184,72.295
run_92_repetition_0,DONE,r10,no,loop3,51.507493,99.986,4.124,157.752
run_55_repetition_0,DONE,r6,no,loop6,21.667026,99.914,8.048,63.248
run_90_repetition_0,DONE,r10,no,loop1,31.082542,99.87,3.243,91.217
run_4_repetition_0,DONE,r1,no,loop5,36.022803,99.912,3.253,106.63
run_146_repetition_0,DONE,r15,no,loop7,24.388024,100.013,2.278,71.54
run_70_repetition_0,DONE,r8,no,loop1,31.090411,99.93,3.257,91.078
run_29_repetition_0,DONE,r3,no,loop10,24.359366,111.435,0.3,73.541
run_106_repetition_0,DONE,r11,no,loop7,24.021475,100.03,2.309,69.208
run_62_repetition_0,DONE,r7,no,loop3,51.342403,99.878,4.182,158.191
run_101_repetition_0,DONE,r11,no,loop2,31.009271,99.99,3.067,91.37
run_66_repetition_0,DONE,r7,no,loop7,24.088721,99.978,2.304,69.249
run_30_repetition_0,DONE,r4,no,loop1,31.215578,99.943,3.247,94.6
run_102_repetition_0,DONE,r11,no,loop3,51.398086,99.857,4.182,153.795
run_37_repetition_0,DONE,r4,no,loop8,26.978208,111.192,1.9,78.089
run_110_repetition_0,DONE,r12,no,loop1,30.924136,99.96,3.137,89.619
run_143_repetition_0,DONE,r15,no,loop4,26.147698,111.52,1.184,78.225
run_98_repetition_0,DONE,r10,no,loop9,16.880406,116.375,1.756,46.707
run_32_repetition_0,DONE,r4,no,loop3,51.46361,99.9,4.196,155.269
run_107_repetition_0,DONE,r11,no,loop8,26.000967,111.56,1.9,75.423
run_103_repetition_0,DONE,r11,no,loop4,26.493322,111.48,1.184,78.262
run_199_repetition_0,DONE,r20,no,loop10,23.330572,112.227,0.3,69.029
run_54_repetition_0,DONE,r6,no,loop5,35.948527,99.941,3.271,103.877
run_185_repetition_0,DONE,r19,no,loop6,20.637517,99.92,8.1,58.662
run_179_repetition_0,DONE,r18,no,loop10,25.062259,111.333,0.3,72.121
run_48_repetition_0,DONE,r5,no,loop9,16.56131,116.25,1.769,46.727
run_91_repetition_0,DONE,r10,no,loop2,31.224594,99.923,3.087,92.883
run_7_repetition_0,DONE,r1,no,loop8,27.00062,111.115,1.9,78.09
run_131_repetition_0,DONE,r14,no,loop2,30.851853,99.893,3.048,89.51
